"date","participant_id","location_id"
"2018-11-16",2059,35
"2018-09-28",1830,50
"2018-09-25",7091,76
"2018-07-03",3020,12
"2018-11-21",6381,73
"2018-08-07",6288,13
"2018-05-09",6476,41
"2018-01-14",2099,17
"2018-11-05",2622,15
"2018-01-01",1806,51
"2018-10-22",3926,49
"2018-10-01",5436,31
"2018-11-09",3223,36
"2018-08-12",7216,51
"2018-06-09",2553,35
"2018-05-08",304,14
"2018-07-08",4240,11
"2018-09-11",7005,17
"2018-04-22",2248,54
"2018-07-25",3277,35
"2018-09-21",4748,33
"2018-08-17",2856,3
"2018-09-09",4195,14
"2018-06-11",3422,16
"2018-04-23",5519,54
"2018-04-29",2279,35
"2018-12-07",7246,28
"2018-01-16",2391,38
"2018-03-05",5305,52
"2018-02-26",4198,16
"2018-11-12",344,64
"2018-04-17",6773,11
"2018-09-15",6748,39
"2018-01-16",3637,76
"2018-01-22",699,50
"2018-09-01",5700,76
"2018-04-14",297,3
"2018-01-08",1840,17
"2018-10-23",2888,19
"2018-02-17",6805,37
"2018-12-10",714,26
"2018-12-06",6939,51
"2018-11-01",224,19
"2018-10-02",5371,10
"2018-09-10",2198,53
"2018-11-20",640,20
"2018-07-04",5959,53
"2018-10-09",7215,34
"2018-01-31",3349,66
"2018-08-21",10,35
"2018-10-30",3334,7
"2018-12-09",413,41
"2018-11-19",2492,41
"2018-03-12",5257,52
"2018-05-04",681,48
"2018-02-25",7397,63
"2018-04-29",5404,4
"2018-08-04",7396,72
"2018-02-12",1988,66
"2018-01-03",3098,12
"2018-04-26",2353,11
"2018-11-25",4027,15
"2018-07-16",6835,46
"2018-06-16",3379,18
"2018-02-12",6083,33
"2018-05-14",7436,54
"2018-11-10",1702,2
"2018-02-05",5276,20
"2018-01-11",823,35
"2018-03-18",2653,67
"2018-07-12",687,18
"2018-07-15",1494,72
"2018-07-25",132,1
"2018-06-13",4146,23
"2018-06-11",4635,36
"2018-11-28",3214,10
"2018-03-06",4728,5
"2018-05-18",696,54
"2018-11-06",2751,13
"2018-05-14",7131,33
"2018-05-10",2543,37
"2017-12-31",5590,51
"2018-05-02",7000,4
"2018-11-06",7240,9
"2018-01-20",2259,72
"2018-11-27",3320,37
"2018-06-29",1781,54
"2018-11-11",4996,67
"2018-12-07",5365,7
"2018-09-05",5191,26
"2018-11-10",3926,23
"2018-08-09",4382,60
"2018-11-28",6576,66
"2018-03-20",3497,57
"2018-08-30",3397,38
"2018-05-31",4928,14
"2018-07-02",707,19
"2018-07-26",7029,73
"2018-07-14",1969,31
"2018-03-15",4023,11
"2018-04-25",5497,26
"2018-11-04",591,8
"2018-09-18",2552,35
"2018-11-18",5590,60
"2018-01-20",5336,48
"2018-06-19",2514,10
"2018-08-19",4079,6
"2018-06-12",666,72
"2018-06-23",5754,17
"2018-07-05",2642,1
"2018-09-16",2453,13
"2018-05-02",981,14
"2018-01-31",5941,38
"2018-10-31",3155,56
"2018-10-21",1811,56
"2018-08-09",4667,11
"2018-09-03",3286,53
"2018-10-13",1702,11
"2018-06-04",1825,46
"2018-07-15",4681,4
"2018-06-25",3676,12
"2018-11-17",2982,70
"2018-08-17",3694,7
"2018-10-14",7156,8
"2018-01-10",6951,2
"2018-01-09",6938,23
"2018-03-07",637,60
"2018-03-26",6759,4
"2018-10-29",1124,28
"2018-10-28",3032,13
"2018-01-08",5117,22
"2018-06-07",6593,51
"2018-05-27",1414,72
"2018-12-07",7007,38
"2018-03-28",3605,60
"2018-08-26",5284,51
"2018-05-16",3087,65
"2018-02-14",5049,1
"2018-02-13",1997,66
"2018-02-27",5327,66
"2018-08-04",4999,71
"2018-01-04",4667,20
"2018-11-18",2055,72
"2018-09-08",4462,20
"2018-12-04",3590,14
"2018-09-03",4961,71
"2018-05-28",2281,10
"2018-08-31",5832,35
"2018-10-18",2740,34
"2018-12-04",4699,46
"2018-05-20",5547,64
"2018-03-10",6286,67
"2018-11-13",6946,61
"2018-03-26",3024,65
"2018-09-06",6593,51
"2018-10-08",578,10
"2018-04-03",6233,63
"2018-01-30",177,34
"2018-11-02",4173,72
"2018-11-13",4730,20
"2018-02-02",1192,14
"2018-09-23",6462,39
"2018-03-20",323,46
"2018-08-17",406,65
"2018-04-21",7294,60
"2018-01-26",7050,15
"2018-01-28",5529,26
"2018-08-07",7097,56
"2018-04-02",7374,36
"2018-07-16",6893,31
"2018-07-07",5864,71
"2018-08-18",5412,15
"2018-06-22",4016,17
"2018-06-24",951,51
"2018-09-03",2378,34
"2018-12-09",7317,2
"2018-05-07",1794,37
"2018-01-14",1296,13
"2018-08-29",1290,46
"2018-11-14",2229,56
"2018-06-21",1440,1
"2018-09-20",1713,36
"2018-04-05",1313,28
"2018-07-04",4076,16
"2018-05-19",6013,34
"2018-06-17",6403,17
"2018-09-25",4543,51
"2018-08-30",618,41
"2018-10-16",7171,46
"2018-07-15",1957,6
"2018-11-10",3286,8
"2018-11-10",6157,64
"2018-02-21",6727,35
"2018-02-26",5290,57
"2018-10-23",4046,26
"2018-08-17",5261,31
"2018-09-23",96,36
"2018-10-26",3356,33
"2018-02-06",4509,61
"2018-11-11",260,60
"2018-03-23",306,18
"2018-05-23",7215,46
"2018-04-25",1613,18
"2018-02-28",6317,2
"2018-08-21",197,65
"2018-05-10",2883,76
"2018-05-10",3665,38
"2018-11-01",3232,11
"2018-03-26",7373,71
"2018-04-15",6710,28
"2018-11-04",815,4
"2018-08-25",2128,14
"2018-03-12",4292,7
"2018-11-24",2391,50
"2018-03-01",1971,9
"2018-08-01",4462,67
"2018-01-23",4418,66
"2018-06-14",7024,36
"2018-11-27",7217,72
"2018-10-29",105,50
"2018-03-24",4259,54
"2018-02-04",3361,51
"2018-08-28",4388,28
"2018-02-06",7283,64
"2018-06-13",2267,4
"2018-11-07",4981,4
"2018-04-07",7467,73
"2018-03-12",1026,66
"2018-11-14",5774,11
"2018-02-06",4418,4
"2018-06-08",256,37
"2018-09-12",5742,12
"2018-08-22",4631,61
"2018-05-05",3103,63
"2018-01-08",1057,6
"2018-11-07",2502,18
"2018-03-06",3738,46
"2018-05-15",442,72
"2018-10-10",2488,11
"2018-03-19",729,28
"2018-06-12",1261,16
"2018-10-03",6989,56
"2018-11-08",4421,67
"2018-01-09",487,28
"2018-03-13",6266,46
"2018-05-30",6627,15
"2018-03-26",4172,31
"2018-10-28",753,66
"2018-01-24",1998,28
"2018-07-06",4933,18
"2018-07-31",946,52
