"participant_id","group","lon","lat","income_bracket"
1,"control",-58.507480424481,-34.6479704863336,4
2,"treatment",-58.4397348099783,-34.6003196885884,6
3,"treatment",-58.4520867321382,-34.5573344212226,9
4,"treatment",-58.4418017841847,-34.5830419114248,8
5,"treatment",-58.5008229726101,-34.6128909774964,4
6,"treatment",-58.5018889497771,-34.6637366328072,1
7,"treatment",-58.4558241487826,-34.5672761254876,9
8,"control",-58.4158954791357,-34.6039207640101,5
9,"treatment",-58.4313460774453,-34.6005003390339,8
10,"control",-58.4248135420657,-34.6415541095997,3
11,"treatment",-58.4510121847106,-34.6072630579279,6
12,"treatment",-58.3989236850805,-34.6584680907384,1
13,"control",-58.4797572144986,-34.6118170806785,4
14,"treatment",-58.3606986399714,-34.635289782399,1
15,"treatment",-58.5107270329179,-34.6096400883304,4
16,"treatment",-58.4711045344067,-34.5937707004057,2
17,"treatment",-58.4742986482212,-34.6274057223882,2
18,"control",-58.4419366186907,-34.5940932297012,5
19,"control",-58.522774762633,-34.6420180590472,4
20,"control",-58.4951401560745,-34.6645177136337,1
21,"treatment",-58.4591762279942,-34.5594661541542,8
22,"treatment",-58.4107828849527,-34.629127980823,5
23,"treatment",-58.4433662993999,-34.5489523013349,10
24,"treatment",-58.396710188664,-34.6308207639118,4
25,"control",-58.4669040201767,-34.5490247992856,7
26,"treatment",-58.4910283327135,-34.5716598996808,6
27,"treatment",-58.4767906183547,-34.5807874391007,6
28,"control",-58.5219260587781,-34.6423795784373,4
29,"treatment",-58.394102079696,-34.6249507846179,2
30,"control",-58.409651228258,-34.6471901649771,1
31,"control",-58.3724900608713,-34.6282523811803,2
32,"control",-58.3751782766427,-34.6200405609476,4
33,"treatment",-58.5042172263185,-34.6358733688588,5
34,"control",-58.486918702021,-34.6313144727862,4
35,"treatment",-58.4818126987657,-34.6510966913025,2
36,"treatment",-58.5096340618658,-34.6280388038574,4
37,"control",-58.3941654052292,-34.6273250841033,3
38,"control",-58.492361151956,-34.6691080500064,1
39,"control",-58.4339121583539,-34.656850735164,1
40,"treatment",-58.3861113659394,-34.6411852216624,1
41,"control",-58.4702075606629,-34.6501079219258,2
42,"control",-58.4950501385604,-34.6653151039392,1
43,"control",-58.4819254937386,-34.6512057352112,2
44,"control",-58.4733228361295,-34.6209984740702,6
45,"treatment",-58.4274004895232,-34.640012546129,3
46,"treatment",-58.4355296199041,-34.5921552544063,6
47,"treatment",-58.4965655308656,-34.6031764302088,5
48,"treatment",-58.4074110379745,-34.5809574539687,9
49,"control",-58.4229535844926,-34.6409492893352,3
50,"control",-58.4356867515831,-34.6094007783973,7
51,"treatment",-58.4048072082777,-34.6511400371781,1
52,"treatment",-58.4808034794801,-34.6211417379538,4
53,"treatment",-58.3875469699597,-34.586042466206,10
54,"control",-58.4899182863526,-34.6524259682394,3
55,"treatment",-58.4953838494008,-34.5658723333818,4
56,"treatment",-58.3624526738532,-34.6438220664016,1
57,"control",-58.5108122994228,-34.6176730430055,4
58,"control",-58.4127006542429,-34.6022155842907,2
59,"treatment",-58.3771625505906,-34.6276729155081,2
60,"control",-58.4638942185748,-34.5452835606216,9
61,"treatment",-58.4087360368812,-34.5996038223203,7
62,"control",-58.4182902897507,-34.5995669265201,8
63,"control",-58.3696860103368,-34.648084203154,2
64,"treatment",-58.4456614101345,-34.655358757256,1
65,"treatment",-58.4408933948639,-34.5928863887358,5
66,"control",-58.3648538599737,-34.6391944417445,1
67,"control",-58.4241587469901,-34.6216759803567,5
68,"treatment",-58.4288529447216,-34.641905621339,2
69,"control",-58.5112534765035,-34.6375125928222,3
70,"control",-58.4978454063014,-34.6550289248767,2
71,"control",-58.4802884748277,-34.6156749108963,4
72,"control",-58.4161204741419,-34.6035853414033,4
73,"treatment",-58.3668116452034,-34.632055568285,5
74,"treatment",-58.4889605964225,-34.5505783464453,5
75,"treatment",-58.3940302938606,-34.6153214694851,4
76,"treatment",-58.4514866096656,-34.6464437963666,1
77,"control",-58.3848377692536,-34.5960283721839,7
78,"treatment",-58.4630333593311,-34.5630259749353,10
79,"treatment",-58.4236677283766,-34.6144612650366,5
80,"treatment",-58.414886083756,-34.5786034339596,10
81,"treatment",-58.4560405272974,-34.6378441468282,5
82,"control",-58.4862705927022,-34.6536996200741,3
