O,D,distance_m,duration_s
2,5,1488,793
2,6,2799,2034
2,7,4223,2438
2,8,2855,1270
2,9,3148,2288
2,10,6777,3230
2,11,1666,1139
2,12,7861,3946
2,13,6534,3070
2,14,3154,1731
2,15,3604,1832
2,16,5022,2652
2,17,3251,1518
2,18,4856,2436
2,19,5412,2671
2,20,6562,3116
2,21,7355,3383
2,22,6531,3465
2,23,6043,2796
2,24,7425,3311
2,25,5100,2620
2,26,7161,3584
2,27,9644,3818
2,28,4967,2429
2,29,7464,3568
2,30,8355,4156
2,31,9990,4042
2,32,6737,3023
2,33,6232,3036
2,34,8532,4053
2,35,11158,3802
2,36,7821,3639
2,37,8310,3769
2,38,6273,3103
2,39,5348,2374
2,40,10721,4968
2,41,6537,3010
2,42,10462,5208
2,43,7778,3394
2,44,9760,3582
2,45,7061,3154
2,46,11586,5382
2,47,7593,3732
2,48,8556,3814
2,49,9711,3530
2,50,9648,4093
2,51,7429,3348
2,52,8617,3422
2,53,9096,4082
2,54,11542,5119
2,55,10034,5234
2,56,10609,4782
2,57,9438,4002
2,58,7922,3527
2,59,11000,4168
2,60,8806,3780
2,61,12186,6027
2,62,8868,3919
2,63,11410,3790
2,64,10258,4355
2,65,14971,4543
2,66,12645,6368
2,67,11565,5121
2,68,13986,5545
2,69,8612,3742
2,70,10446,4513
2,71,NA,NA
2,72,9024,4333
2,73,11640,5280
2,74,12890,5809
2,75,9545,3499
2,76,9009,4111
2,77,10817,4617
2,78,15291,6113
2,79,12714,4236
2,80,10190,4400
2,81,11129,3804
2,82,13786,5858
2,83,10092,4348
2,84,9334,3910
2,85,11864,5069
2,86,15032,6553
2,87,10763,4706
2,88,17404,4975
2,89,12019,5225
2,90,12498,4155
2,91,11699,4257
2,92,12469,5140
2,93,13504,4204
2,94,11318,4720
2,95,13222,5706
2,96,10803,4606
2,97,14330,6001
2,98,8731,4186
2,99,12465,4135
2,100,10734,4480
2,101,14183,4195
2,102,13285,5526
2,103,17669,5140
2,104,15291,4423
2,105,13354,5629
2,106,15581,6774
2,107,13108,5483
2,108,16846,4490
2,109,12848,3894
2,110,14299,5953
2,111,13418,5396
2,112,11239,4488
2,113,16735,6087
2,114,12573,5466
2,115,18922,5145
2,116,14582,4481
2,117,17124,4769
2,118,20785,5595
2,119,14138,4358
2,120,14168,4854
2,121,13232,5709
2,122,13924,5626
2,123,12906,5261
2,124,14723,4776
2,125,18307,4710
2,126,18388,6243
2,127,15445,4774
2,128,14190,4207
2,129,21160,8391
2,130,18728,5019
2,131,14730,6303
2,132,14267,5702
2,133,13425,5468
2,134,15762,6473
2,135,18369,4737
2,136,19968,4980
2,137,16495,6713
2,138,15267,4568
2,139,16062,4979
2,140,17726,5706
2,141,13153,5399
2,142,16653,5440
2,143,15638,4987
2,144,14315,5729
2,145,16766,5263
2,146,17810,5543
2,147,17748,7130
2,148,14060,5520
2,149,15244,4565
2,150,14136,5717
2,151,15663,4398
2,152,15959,6527
2,153,18047,5535
2,154,16354,6404
2,155,19205,6536
2,156,19996,4940
2,157,20033,6262
2,158,16129,4765
2,159,15232,6150
2,160,15656,6323
2,161,16572,4630
2,162,16171,5872
2,163,16682,6162
2,164,15593,6372
2,165,18046,5237
2,166,17641,6951
2,167,16794,7034
2,168,16440,6557
2,169,17264,5116
2,170,17481,6720
2,171,18070,5466
2,172,18599,5521
2,173,20638,6896
2,174,16356,6618
2,175,15793,6087
2,176,18466,6156
2,177,17777,5463
2,178,18261,7178
2,179,18268,5531
2,180,17489,6958
2,181,17638,7053
2,182,18189,4905
2,183,22909,5650
2,184,19536,7572
2,185,18198,5522
2,186,17822,7043
2,187,19108,7439
2,188,18772,7450
2,189,22727,5545
2,190,19309,5361
2,191,18262,7137
2,192,18944,8200
2,193,24233,5743
2,194,19071,7509
2,195,19062,7287
2,196,19505,5672
2,197,20200,6318
2,198,23069,5495
2,199,22360,4941
2,200,23216,5114
3,1,4587,3328
3,2,1121,826
3,4,4999,2225
3,5,2420,1428
3,6,3601,2613
3,7,5077,2683
3,8,3787,1487
3,9,3950,2867
3,10,6120,2874
3,11,2598,1353
3,12,9525,4556
3,13,7466,3284
3,14,4086,1945
3,15,4536,2046
3,16,6686,3262
3,17,5539,2675
3,18,5788,2648
3,19,6540,2952
3,20,9737,3445
3,21,8020,2888
3,22,7463,3679
3,23,6971,3003
3,24,8357,3511
3,25,6032,2834
3,26,8093,3798
3,27,10576,4032
3,28,5907,2854
3,29,8532,4094
3,30,9287,4370
3,31,10922,4259
3,32,7432,3523
3,33,7164,3250
3,34,9464,4267
3,35,12090,4016
3,36,8754,3855
3,37,9112,4198
3,38,7205,3317
3,39,6280,2588
3,40,12911,5590
3,41,7469,3224
3,42,11394,5422
3,43,9386,3546
3,44,10692,3796
3,45,7993,3368
3,46,13776,6004
3,47,9783,4354
3,48,8785,3890
3,49,11158,4588
3,50,10580,4307
3,51,8361,3562
3,52,9549,3636
3,53,10028,4298
3,54,12484,5044
3,55,12677,6079
3,56,11541,4996
3,57,9793,4590
3,58,8854,3741
3,59,13340,5931
3,60,9622,4066
3,61,13920,6570
3,62,9800,4133
3,63,13290,4272
3,64,11134,4732
3,65,15903,4757
3,66,14379,6911
3,67,12497,5335
3,68,14157,6043
3,69,9544,3956
3,70,10737,4713
3,71,NA,NA
3,72,11214,4955
3,73,12572,5494
3,74,14138,6015
3,75,10477,3713
3,76,9942,4329
3,77,11749,4831
3,78,16432,6240
3,79,14594,4718
3,80,11122,4614
3,81,13494,4591
3,82,14718,6072
3,83,11024,4562
3,84,10266,4124
3,85,11918,5068
3,86,17221,7175
3,87,11695,4920
3,88,18336,5189
3,89,12951,5439
3,90,15063,5871
3,91,13288,5673
3,92,11544,4856
3,93,15384,4686
3,94,12250,4934
3,95,13977,6429
3,96,11919,4976
3,97,15262,6215
3,98,9817,4699
3,99,14830,4922
3,100,11666,4694
3,101,16063,4677
3,102,14162,5903
3,103,18601,5354
3,104,16223,4640
3,105,14286,5843
3,106,16513,6988
3,107,14040,5697
3,108,17778,4704
3,109,15213,4681
3,110,15175,6330
3,111,14630,4789
3,112,12171,4702
3,113,17667,6301
3,114,13505,5680
3,115,19854,5359
3,116,16947,5268
3,117,18056,4983
3,118,21717,5809
3,119,13005,5444
3,120,16533,5641
3,121,14164,5923
3,122,14856,5840
3,123,13838,5475
3,124,14258,6070
3,125,19239,4924
3,126,19320,6457
3,127,17325,5256
3,128,16555,4994
3,129,22092,8605
3,130,19660,5233
3,131,15727,6543
3,132,15263,6032
3,133,14357,5682
3,134,16694,6687
3,135,19301,4951
3,136,20900,5194
3,137,16874,5729
3,138,17632,5355
3,139,17703,5524
3,140,18658,5920
3,141,14085,5613
3,142,17585,5654
3,143,16570,5201
3,144,16284,5184
3,145,18646,5745
3,146,19690,6025
3,147,16583,6179
3,148,14992,5734
3,149,17609,5352
3,150,15078,5917
3,151,18029,5185
3,152,16089,6879
3,153,21958,6239
3,154,17231,6781
3,155,20137,6750
3,156,20928,5154
3,157,22399,7049
3,158,18495,5552
3,159,16164,6364
3,160,16588,6537
3,161,18937,5417
3,162,17698,7415
3,163,18635,5625
3,164,16773,6603
3,165,18850,5867
3,166,18308,6860
3,167,17726,7248
3,168,17354,7259
3,169,19629,5903
3,170,18358,7097
3,171,20436,6253
3,172,20387,6236
3,173,23565,7008
3,174,17288,6832
3,175,16725,6301
3,176,19124,7901
3,177,18709,5677
3,178,19193,7392
3,179,23735,5805
3,180,18421,7172
3,181,19267,6433
3,182,19830,5450
3,183,23841,5864
3,184,19001,8177
3,185,19130,5736
3,186,17952,6932
3,187,20040,7652
3,188,19704,7664
3,189,23659,5759
3,190,20950,5906
3,191,19194,7351
3,192,24698,6315
3,193,25165,5957
3,194,20003,7723
3,195,19994,7501
3,196,20437,5886
3,197,21132,6532
3,198,24001,5709
3,199,23292,5155
3,200,24148,5328
4,1,NA,NA
4,2,4108,2043
4,3,4885,2250
4,5,3605,2051
4,6,4156,3041
4,7,1442,807
4,8,4543,2350
4,9,5814,2913
4,10,1827,773
4,11,2478,1399
4,12,7194,3249
4,13,3077,1336
4,14,2193,932
4,15,3071,1254
4,16,4500,2342
4,17,3305,1459
4,18,3505,2431
4,19,2033,1607
4,20,5799,2887
4,21,4683,1999
4,22,4784,2436
4,23,5184,2111
4,24,6929,3415
4,25,4825,1993
4,26,6314,2996
4,27,6974,3389
4,28,4423,1701
4,29,5345,2723
4,30,7583,3535
4,31,10138,4137
4,32,6219,2359
4,33,5894,3073
4,34,7314,2763
4,35,8463,3143
4,36,6728,2613
4,37,5638,2385
4,38,5820,2307
4,39,4830,2244
4,40,10580,4287
4,41,6598,2541
4,42,8538,4097
4,43,7083,2489
4,44,8940,3319
4,45,6764,3323
4,46,11445,4701
4,47,7452,3051
4,48,8473,3354
4,49,9033,2957
4,50,8782,3375
4,51,7724,2977
4,52,9343,3329
4,53,8616,2901
4,54,11555,4197
4,55,9298,4281
4,56,9927,4036
4,57,9474,3189
4,58,7900,3316
4,59,10322,3595
4,60,8276,3059
4,61,11450,5074
4,62,8334,3426
4,63,10732,3217
4,64,9559,3451
4,65,12063,4257
4,66,11909,5415
4,67,10401,3294
4,68,13308,4864
4,69,8099,3613
4,70,9679,2906
4,71,NA,NA
4,72,8883,3652
4,73,10771,4144
4,74,12441,4055
4,75,9087,3471
4,76,7896,3139
4,77,10255,4344
4,78,14613,5432
4,79,12036,3663
4,80,9577,4543
4,81,11056,3231
4,82,13223,5585
4,83,9558,3855
4,84,10312,3230
4,85,10849,3326
4,86,14891,5872
4,87,12576,4723
4,88,14784,4762
4,89,11457,4952
4,90,12425,3582
4,91,11999,4518
4,92,12088,3474
4,93,12826,3631
4,94,10784,4227
4,95,12685,3912
4,96,11864,3805
4,97,13767,5728
4,98,6644,3012
4,99,12392,3562
4,100,11265,3380
4,101,13505,3622
4,102,12586,4622
4,103,15049,4927
4,104,15439,4518
4,105,12820,5136
4,106,15018,6501
4,107,13573,4566
4,108,13597,4181
4,109,12775,3321
4,110,13600,5049
4,111,12719,3513
4,112,11878,3283
4,113,17200,5170
4,114,14498,4796
4,115,16302,4932
4,116,14509,3908
4,117,15718,4364
4,118,18165,5382
4,119,13412,3605
4,120,14095,4281
4,121,14109,4533
4,122,13390,5133
4,123,13213,4042
4,124,13997,4023
4,125,14429,4350
4,126,18824,5739
4,127,14767,4201
4,128,14117,3634
4,129,21625,7154
4,130,17095,4518
4,131,14152,5262
4,132,15447,4631
4,133,14769,4217
4,134,17181,5441
4,135,15578,4270
4,136,17348,4767
4,137,15010,5012
4,138,15194,3995
4,139,15405,4526
4,140,17459,5041
4,141,12640,5270
4,142,16386,4775
4,143,15371,4322
4,144,14373,3908
4,145,16088,4690
4,146,17132,4970
4,147,16262,5429
4,148,15210,4476
4,149,15171,3992
4,150,15479,4611
4,151,15590,3825
4,152,16173,5262
4,153,17293,5487
4,154,15655,5500
4,155,19333,6145
4,156,16575,4541
4,157,19960,5689
4,158,16056,4192
4,159,15896,4720
4,160,17330,5203
4,161,16499,4057
4,162,16098,5448
4,163,15956,4401
4,164,17167,5291
4,165,16412,4548
4,166,17855,5686
4,167,18319,5704
4,168,17160,5818
4,169,17191,4543
4,170,16782,5816
4,171,17997,4893
4,172,18526,5168
4,173,19054,6416
4,174,17014,5185
4,175,17175,5195
4,176,18393,5803
4,177,17594,4803
4,178,20046,6059
4,179,18195,5178
4,180,18153,5524
4,181,18127,5507
4,182,17532,4452
4,183,18467,4859
4,184,19749,6308
4,185,18015,4862
4,186,18396,5680
4,187,20898,6280
4,188,19005,5426
4,189,18285,4754
4,190,18652,4908
4,191,18865,5288
4,192,23438,6681
4,193,20048,5890
4,194,19442,6283
4,195,21603,6302
4,196,19322,5012
4,197,20017,5658
4,198,22853,6528
4,199,22724,4923
4,200,23580,5096
5,1,2396,1732
5,2,1549,1273
5,3,2326,1480
5,4,3179,1600
5,6,1640,1184
5,7,2751,2026
5,8,1207,908
5,9,1974,1425
5,10,4528,2217
5,11,1291,1149
5,12,6612,3565
5,13,6649,2932
5,14,2780,1741
5,15,3230,1842
5,16,3779,2296
5,17,2498,1404
5,18,4482,2446
5,19,5038,2681
5,20,5809,3002
5,21,7613,3212
5,22,6545,3382
5,23,5669,2806
5,24,7051,3321
5,25,4726,2630
5,26,6787,3594
5,27,8550,3747
5,28,4593,2439
5,29,7090,3578
5,30,7981,4166
5,31,9094,3916
5,32,5984,2909
5,33,5858,3046
5,34,8158,4063
5,35,10784,3812
5,36,7447,3649
5,37,8568,3598
5,38,5899,3113
5,39,4974,2384
5,40,9994,4600
5,41,6163,3020
5,42,10088,5218
5,43,7393,3405
5,44,9386,3592
5,45,6686,3164
5,46,10859,5014
5,47,6866,3364
5,48,7803,3700
5,49,8287,3200
5,50,9274,4103
5,51,7055,3358
5,52,8243,3432
5,53,8721,4092
5,54,9840,3671
5,55,8786,4723
5,56,10525,4934
5,57,8685,3888
5,58,7548,3537
5,59,9576,3838
5,60,8432,3790
5,61,10938,5516
5,62,8494,3929
5,63,9986,3460
5,64,9884,4365
5,65,11823,4399
5,66,11397,5857
5,67,11192,5132
5,68,11665,4173
5,69,8237,3752
5,70,9693,4399
5,71,NA,NA
5,72,8297,3965
5,73,10052,3882
5,74,12516,5819
5,75,9171,3509
5,76,8635,4121
5,77,10443,4627
5,78,14538,5999
5,79,11290,3906
5,80,9816,4410
5,81,10543,3673
5,82,13412,5868
5,83,9718,4358
5,84,8960,3920
5,85,11111,4955
5,86,14304,6185
5,87,10389,4716
5,88,17030,4985
5,89,11645,5235
5,90,11912,4024
5,91,11113,4126
5,92,11716,5026
5,93,12080,3874
5,94,10944,4730
5,95,12469,5592
5,96,10429,4616
5,97,13956,6011
5,98,8357,4196
5,99,11879,4004
5,100,10360,4490
5,101,12759,3865
5,102,12911,5536
5,103,17295,5150
5,104,14395,4297
5,105,12980,5639
5,106,15207,6784
5,107,12734,5493
5,108,13532,4664
5,109,12262,3763
5,110,12943,5443
5,111,12665,5282
5,112,10865,4498
5,113,16361,6097
5,114,12199,5476
5,115,18548,5155
5,116,13996,4350
5,117,16750,4779
5,118,20411,5605
5,119,13385,4244
5,120,13582,4723
5,121,12858,5719
5,122,13550,5636
5,123,12532,5271
5,124,13970,4662
5,125,15159,4566
5,126,18014,6253
5,127,14021,4444
5,128,13604,4076
5,129,20786,8401
5,130,16582,4960
5,131,14356,6313
5,132,13893,5712
5,133,13051,5478
5,134,15388,6483
5,135,17995,4747
5,136,19594,4990
5,137,13626,5010
5,138,14681,4437
5,139,14677,4598
5,140,17352,5716
5,141,12778,5409
5,142,16279,5450
5,143,15264,4997
5,144,14345,4547
5,145,15342,4933
5,146,16386,5213
5,147,14878,5427
5,148,13685,5530
5,149,14658,4434
5,150,13762,5727
5,151,15077,4267
5,152,15585,6537
5,153,17294,5421
5,154,15980,6414
5,155,18831,6546
5,156,17217,5191
5,157,19447,6131
5,158,15543,4634
5,159,14858,6160
5,160,15282,6333
5,161,15986,4499
5,162,15585,5890
5,163,15929,6048
5,164,15219,6382
5,165,15899,4990
5,166,17267,6961
5,167,16419,7044
5,168,16066,6567
5,169,16678,4985
5,170,17058,5442
5,171,17484,5335
5,172,17846,5407
5,173,18308,6659
5,174,15976,6628
5,175,15418,6097
5,176,17713,6042
5,177,17403,5473
5,178,17887,7188
5,179,17515,5417
5,180,17115,6968
5,181,17264,7063
5,182,16804,4524
5,183,17954,5301
5,184,19162,7582
5,185,17824,5532
5,186,17447,7053
5,187,18734,7449
5,188,18492,5868
5,189,17772,5196
5,190,17924,4980
5,191,17888,7147
5,192,18569,8210
5,193,19535,6332
5,194,18697,7519
5,195,18688,7297
5,196,19131,5682
5,197,19826,6328
5,198,22695,5505
5,199,21986,4951
5,200,22842,5124
6,1,2075,1502
6,2,3453,2023
6,3,4229,2230
6,4,4156,3056
6,5,1640,1185
6,7,4098,3001
6,8,2554,1883
6,9,1711,1237
6,10,6781,4096
6,11,2489,1817
6,12,4520,3247
6,13,7419,4368
6,14,3309,2475
6,15,5197,3131
6,16,3206,2464
6,17,3397,2599
6,18,4156,3124
6,19,7020,4059
6,20,3692,2685
6,21,8681,4409
6,22,8149,4700
6,23,4596,3501
6,24,4002,3041
6,25,6693,3919
6,26,7138,4303
6,27,4853,3527
6,28,6561,3780
6,29,9073,4986
6,30,10501,5203
6,31,NA,NA
6,32,6933,4009
6,33,7825,4335
6,34,10125,5352
6,35,12751,5289
6,36,9733,5194
6,37,9656,5134
6,38,7866,4402
6,39,6941,3673
6,40,10211,6412
6,41,8130,4309
6,42,12188,6112
6,43,10047,4819
6,44,11353,5069
6,45,8653,4655
6,46,10740,6815
6,47,5071,3516
6,48,8752,4800
6,49,9210,4144
6,50,11453,5542
6,51,9022,4647
6,52,10210,4897
6,53,10688,5457
6,54,10713,5275
6,55,10230,6220
6,56,9746,4902
6,57,9634,4988
6,58,9591,4925
6,59,10499,4782
6,60,10399,5131
6,61,12382,7013
6,62,10461,5600
6,63,10909,4404
6,64,9825,4822
6,65,12883,5252
6,66,12841,7354
6,67,10585,4955
6,68,12588,5117
6,69,10204,5041
6,70,10642,5499
6,71,NA,NA
6,72,NA,NA
6,73,10749,5101
6,74,12931,6209
6,75,11138,5047
6,76,11781,5914
6,77,12410,5918
6,78,14057,5561
6,79,12213,4850
6,80,11783,5706
6,81,11240,4892
6,82,15379,7159
6,83,11685,6029
6,84,10927,5209
6,85,12579,6247
6,86,14685,7567
6,87,12356,6387
6,88,15102,5907
6,89,13612,6526
6,90,12609,5243
6,91,11810,5345
6,92,12205,6063
6,93,13003,4818
6,94,12911,6401
6,95,12440,5237
6,96,12580,6061
6,97,15923,7302
6,98,10361,5643
6,99,12576,5223
6,100,12327,5779
6,101,13682,4809
6,102,12853,5991
6,103,16789,6211
6,104,15455,5330
6,105,14947,7310
6,106,17174,8075
6,107,14568,7031
6,108,14758,5199
6,109,12959,4982
6,110,14221,7082
6,111,12474,4838
6,112,12832,5787
6,113,18041,7503
6,114,14166,7147
6,115,16834,6432
6,116,14693,5569
6,117,15895,5551
6,118,18697,6882
6,119,13167,4930
6,120,14279,5942
6,121,14825,7448
6,122,15517,7307
6,123,14499,6560
6,124,13752,5348
6,125,16219,5419
6,126,19981,7985
6,127,14944,5388
6,128,14301,5295
6,129,NA,NA
6,130,16640,5728
6,131,14774,7300
6,132,15924,7229
6,133,15018,6767
6,134,18946,7867
6,135,15755,5457
6,136,17880,6267
6,137,14717,5899
6,138,15378,5656
6,139,15449,5867
6,140,19319,7005
6,141,14745,6698
6,142,18246,6739
6,143,17231,6286
6,144,15917,7081
6,145,16265,5877
6,146,17309,6157
6,147,17315,8101
6,148,15652,6819
6,149,15355,5653
6,150,15724,7440
6,151,15774,5486
6,152,17561,7879
6,153,17546,6521
6,154,16277,7556
6,155,19805,8996
6,156,17908,5649
6,157,20144,7350
6,158,16240,5853
6,159,16825,7782
6,160,17249,7622
6,161,16683,5718
6,162,16282,6840
6,163,16878,7148
6,164,17434,8229
6,165,17433,6125
6,166,19243,8303
6,167,18386,8333
6,168,18015,8344
6,169,17375,6204
6,170,17416,6150
6,171,18181,6554
6,172,18133,6579
6,173,20137,7522
6,174,17943,8250
6,175,17385,7386
6,176,27154,8090
6,177,19370,6762
6,178,19844,8711
6,179,17630,6304
6,180,19082,8590
6,181,19094,7355
6,182,17576,5793
6,183,20821,6359
6,184,27150,7995
6,185,19791,6821
6,186,19414,8342
6,187,20701,9195
6,188,26384,7952
6,189,18596,6666
6,190,18696,6249
6,191,19855,8436
6,192,25359,7445
6,193,25826,7087
6,194,20664,8808
6,195,20655,8586
6,196,21098,6971
6,197,21793,7617
6,198,24662,6839
6,199,23953,6285
6,200,24809,6458
7,1,NA,NA
7,2,4134,2177
7,3,4911,2384
7,4,1982,943
7,5,3631,2185
7,6,4170,2980
7,8,3780,2140
7,9,5479,2911
7,10,2098,1146
7,11,1681,1171
7,12,6820,3128
7,13,2044,1091
7,14,1869,1033
7,15,1974,839
7,16,4388,1948
7,17,2542,1235
7,18,3254,1384
7,19,1370,985
7,20,7644,2876
7,21,3369,1634
7,22,3941,2039
7,23,4393,1651
7,24,5775,2161
7,25,3537,1537
7,26,6049,2542
7,27,8265,3493
7,28,3375,1510
7,29,5575,2275
7,30,7213,2675
7,31,10485,5156
7,32,5895,2460
7,33,4760,2140
7,34,6704,2638
7,35,7963,3130
7,36,5440,2155
7,37,4346,2065
7,38,4772,2115
7,39,3914,2099
7,40,10245,4281
7,41,5550,2350
7,42,8766,3516
7,43,6759,2590
7,44,8617,3420
7,45,5861,2713
7,46,11111,4695
7,47,7118,3045
7,48,6885,3373
7,49,8423,2832
7,50,7498,2863
7,51,6780,2370
7,52,7844,3312
7,53,7945,2951
7,54,9614,3813
7,55,9542,4349
7,56,8759,3822
7,57,7208,3494
7,58,6983,3171
7,59,9712,3470
7,60,7464,2329
7,61,11907,5026
7,62,11370,4416
7,63,10122,3092
7,64,9075,3387
7,65,12036,4927
7,66,12366,5367
7,67,9941,3325
7,68,11801,3805
7,69,7182,3468
7,70,8644,2689
7,71,NA,NA
7,72,8549,3646
7,73,10105,3471
7,74,11790,4833
7,75,8362,2584
7,76,7719,2983
7,77,10157,4171
7,78,14289,5533
7,79,11426,3538
7,80,10317,3774
7,81,10597,3262
7,82,13126,5415
7,83,8511,3662
7,84,9425,2839
7,85,9814,3109
7,86,14556,5866
7,87,13216,4952
7,88,15411,4213
7,89,11359,4781
7,90,11966,3613
7,91,11167,3715
7,92,11052,3257
7,93,12216,3506
7,94,9737,4034
7,95,11649,3695
7,96,10977,3414
7,97,13670,5558
7,98,5279,2373
7,99,11933,3593
7,100,10378,2989
7,101,12895,3497
7,102,12103,4556
7,103,15676,4378
7,104,16092,5755
7,105,16455,4791
7,106,14921,6331
7,107,12686,3905
7,108,13586,4213
7,109,12316,3352
7,110,12627,4964
7,111,11684,3296
7,112,10991,2892
7,113,16313,4447
7,114,13611,4125
7,115,16929,4383
7,116,14050,3939
7,117,15108,4239
7,118,18792,4833
7,119,12377,3388
7,120,13636,4312
7,121,13309,5119
7,122,12343,4940
7,123,12326,3651
7,124,12962,3806
7,125,13819,4225
7,126,15184,5947
7,127,14157,4076
7,128,13658,3665
7,129,20738,6826
7,130,17062,4666
7,131,13179,5182
7,132,14399,4439
7,133,11975,3636
7,134,17596,4971
7,135,16376,3975
7,136,17975,4218
7,137,14422,4572
7,138,14735,4026
7,139,14806,4197
7,140,16411,4849
7,141,12933,4211
7,142,15338,4583
7,143,14323,4130
7,144,13338,3691
7,145,15478,4565
7,146,16522,4845
7,147,14654,5275
7,148,13921,4323
7,149,14712,4023
7,150,13801,4312
7,151,15131,3856
7,152,14367,5609
7,153,16683,5362
7,154,14682,5438
7,155,18233,7106
7,156,18003,4020
7,157,19501,5720
7,158,15597,4223
7,159,14814,4503
7,160,16247,4986
7,161,16040,4088
7,162,15639,5479
7,163,14921,4184
7,164,15257,4969
7,165,15953,4663
7,166,16049,6033
7,167,17284,5487
7,168,16110,5206
7,169,16732,4574
7,170,16773,4480
7,171,17538,4924
7,172,18067,5043
7,173,18444,6291
7,174,15932,4968
7,175,15655,4888
7,176,18360,5655
7,177,16546,4611
7,178,19011,5842
7,179,17736,4929
7,180,17071,5307
7,181,17080,5314
7,182,16933,4123
7,183,18732,5322
7,184,17942,6653
7,185,16967,4670
7,186,17361,5463
7,187,19863,6063
7,188,18546,5539
7,189,18589,5216
7,190,18053,4579
7,191,17817,5096
7,192,22323,5364
7,193,23065,5133
7,194,19375,6149
7,195,23791,5279
7,196,18274,4820
7,197,18969,5466
7,198,21674,4848
7,199,20965,4294
7,200,21821,4467
8,1,3603,2596
8,2,2880,1303
8,3,3657,1510
8,4,5207,2359
8,5,1207,864
